Year,Temperature(C),Rainfall(mm),Windspeed(kmph)
2009,22,38.54,7.1
2009,24,38.54,8.2
2009,28,38.54,7.4
2009,31,178.98,10.3
2009,30,178.98,9.3
2009,30,178.98,10.1
2009,29,389.27,10.9
2009,28,389.27,8.8
2009,28,289.27,7.4
2009,27,58.8,7.3
2009,25,58.8,6.8
2009,22,58.8,6.7
2010,21,27.06,9.3
2010,24,27.06,6.9
2010,29,27.06,10.4
2010,31,343.68,13.7
2010,30,343.68,10.1
2010,29,343.68,11.4
2010,28,222.44,10.1
2010,29,222.44,11.6
2010,28,222.44,7.8
2010,27,93.63,6
2010,25,93.63,5.9
2010,21,93.63,8.2
2011,19,31.21,8.1
2011,23,31.21,8
2011,26,31.21,10.2
2011,29,326.6,7.5
2011,29,326.6,10.7
2011,29,326.6,13.4
2011,29,321.33,12
2011,28,321.33,11.6
2011,28,321.33,12.4
2011,28,18.6,5.6
2011,24,18.6,6.4
2011,21,18.6,7.3
2012,20,10.5,9.1
2012,23,10.5,8.2
2012,27,10.5,8.8
2012,29,256.73,12.3
2012,31,256.73,11.2
2012,30,256.73,14.9
2012,29,282.28,14.8
2012,29,282.28,12.1
2012,28,282.28,11
2012,27,78.59,8.2
2012,23,78.59,8.2
2012,21,78.59,8.7
2013,19,4.06,10.1
2013,23,4.06,12
2013,28,4.06,9.3
2013,30,385.38,11.2
2013,28,385.38,14.1
2013,30,385.38,11
2013,29,234.21,14.2
2013,28,234.21,12.4
2013,28,234.21,8.1
2013,27,69.39,6.9
2013,24,69.39,7.8
2013,22,69.39,6.9
2014,20,20.6,8.9
2014,22,20.6,8.9
2014,26,20.6,8.7
2014,31,210.73,9.2
2014,31,210.73,12.5
2014,30,210.73,11.3
2014,29,220.156,13.6
2014,29,220.156,11.6
2014,29,220.156,10.2
2014,28,22.58,5.7
2014,25,22.58,5.2
2014,20,22.58,7
2015,21,25.56,8
2015,22,25.56,7.8
2015,27,25.56,8.9
2015,28,346.45,11.7
2015,30,346.45,12.5
2015,30,346.45,15.3
2015,28,443.12,13.8
2015,29,443.12,14.2
2015,29,443.12,10
2015,28,43.74,6.6
2015,26,43.74,5.9
2015,22,43.74,6.7
2016,21,55.87,7.4
2016,25,55.87,7.4
2016,28,55.87,9
2016,30,264.69,15.4
2016,30,264.69,11
2016,30,264.69,11.5
2016,29,276.68,13.7
2016,29,276.68,13.3
2016,29,276.68,8.8
2016,28,67.55,7.1
2016,25,67.55,6.5
2016,23,67.55,6.8
2017,21,31.86,8.9
2017,24,31.86,7.8
2017,26,31.86,9.4
2017,29,399.89,13.2
2017,30,399.89,9.8
2017,29,399.89,13.5
2017,29,384.59,12.7
2017,30,384.59,11
2017,29,384.59,8.9
2017,28,121.99,8.9
2017,26,121.99,7.2
2017,23,121.99,6.3
2018,20,18.56,7.9
2018,24,18.56,6.8
2018,28,18.56,7.8
2018,29,350.69,8.8
2018,29,350.69,10.7
2018,30,350.69,11.4
2018,29,207.32,14.4
2018,30,207.32,12.5
2018,20,207.32,9.9
2018,27,51.16,7.1
2018,26,51.16,6.4
2018,22,51.16,8.3
2019,22,23.82,7.6
2019,24,23.82,8.4
2019,27,23.82,9.3
2019,29,289.01,11.4
2019,31,289.01,16.5
2019,30,289.01,14.2
2019,29,243.09,16.4
2019,30,243.09,14.1
2019,29,243.09,11.9
2019,27,104.91,8.7
2019,26,104.91,8.5
2019,21,104.91,8.2
2020,20,17.76,8.2
2020,22,17.76,8
2020,27,17.76,8.9
2020,30,362.43,12.2
2020,30,362.43,14
2020,30,362.43,15.7
2020,29,328.35,15.5
2020,29,328.35,16
2020,30,328.35,12.3
2020,29,101.52,8.6
2020,25,101.52,8.4
2020,22,101.52,7.5
2021,22,5.45,7.6
2021,24,5.45,8.5
2021,29,5.45,10.8
2021,32,283.49,13.6
2021,30,283.49,12.5
2021,29,283.49,15.9
2021,29,314.96,14.2
2021,29,314.96,13
2021,29,314.96,10.1
2021,28,108.07,9
2021,24,108.07,8.4
2021,21,108.07,9.2
2022,20,20.56,9.1
2022,21,20.56,9.1
2022,28,20.56,10.8
2022,30,301.87,17
2022,29,301.87,13
2022,30,301.87,17.4
2022,30,217.03,13.1
2022,29,217.03,13.7
2022,29,217.03,10.7
2022,27,73.62,9.5
2022,24,73.62,8.7
2022,22,73.62,8.2
2023,21,20.96,8.7
2023,24,20.96,9
2023,28,20.96,11.3
2023,31,240.8,12.5
2023,30,240.8,12.5
2023,30,240.8,16.7
2023,30,375.42,15.4
2023,29,375.42,12.2
2023,29,375.42,12.4
2023,27,57.37,10.2
2023,25,57.37,8.9
2023,22,57.37,7.7
2024,20,12.69,8.2
2024,23,12.69,9.4
2024,27,12.69,10.5
2024,33,168.14,16.8
2024,31,168.14,16.1
2024,31,168.14,19.7
2024,29,325.03,17.4
2024,28,325.03,17.3
2024,29,325.03,12.9
2024,28,66.6,9.5
2024,25,66.6,7.9
2024,22,66.6,9.3
2025,21,1.14,8.3
2025,24,1.14,8.4
2025,29,1.14,12.7
2025,31,210.92,15.6
2025,31,210.92,14.4
2025,30,210.92,16.6
2025,29,249.78,16.8
2025,29,249.78,14.1
2025,29,249.78,10.5